,Year,Commodity Group,C03409V04104,Country,UNIT,VALUE
77981,2000,"Sugar, sugar preparations and honey (06)",KR,South Korea,Euro Thousand,108.0
77982,2000,"Sugar, sugar preparations and honey (06)",LT,Lithuania,Euro Thousand,0.0
77983,2000,"Sugar, sugar preparations and honey (06)",LU,Luxembourg,Euro Thousand,0.0
77984,2000,"Sugar, sugar preparations and honey (06)",LV,Latvia,Euro Thousand,0.0
77985,2000,"Sugar, sugar preparations and honey (06)",MT,Malta,Euro Thousand,38.0
77986,2000,"Sugar, sugar preparations and honey (06)",MX,Mexico,Euro Thousand,0.0
77987,2000,"Sugar, sugar preparations and honey (06)",MY,Malaysia,Euro Thousand,5.0
77988,2000,"Sugar, sugar preparations and honey (06)",NL,Netherlands,Euro Thousand,1654.0
77989,2000,"Sugar, sugar preparations and honey (06)",NO,Norway,Euro Thousand,976.0
77990,2000,"Sugar, sugar preparations and honey (06)",PL,Poland,Euro Thousand,926.0
77991,2000,"Sugar, sugar preparations and honey (06)",PT,Portugal,Euro Thousand,79.0
77992,2000,"Sugar, sugar preparations and honey (06)",RO,Romania,Euro Thousand,0.0
